key	article_id	name	country_code	country_name	description	price	valid_from	valid_to
1	11	A	CA	Canada	Arm close foot budget ahead. Field development prepare. Majority few real leave nature part town.	50.7	2019-06-28 23:40:16	9999-12-31 23:59:59
2	6	A	CG	Congo	Arm close foot budget ahead. Field development prepare. Majority few real leave nature part town.	31.7	2022-03-18 08:00:05	9999-12-31 23:59:59
3	10	A	CO	Colombia	Arm close foot budget ahead. Field development prepare. Majority few real leave nature part town.	69.64	2019-05-11 03:16:35	9999-12-31 23:59:59
4	7	A	IQ	Iraq	Arm close foot budget ahead. Field development prepare. Majority few real leave nature part town.	4.07	2019-12-31 13:29:00	9999-12-31 23:59:59
5	5	A	SB	Solomon Islands	Arm close foot budget ahead. Field development prepare. Majority few real leave nature part town.	75.72	2019-10-04 23:55:19	9999-12-31 23:59:59
6	9	A	SM	San Marino	Arm close foot budget ahead. Field development prepare. Majority few real leave nature part town.	92.55	2019-05-27 19:42:33	9999-12-31 23:59:59
7	19	B	BS	Bahamas	Foreign world station central interesting religious forward. Yeah none relate will. Risk letter carry.	68.4	2020-09-10 02:46:47	9999-12-31 23:59:59
8	22	B	CA	Canada	Foreign world station central interesting religious forward. Yeah none relate will. Risk letter carry.	81.52	2015-04-03 16:04:34	9999-12-31 23:59:59
9	13	B	ET	Ethiopia	Foreign world station central interesting religious forward. Yeah none relate will. Risk letter carry.	84.42	2016-01-20 23:48:29	2022-08-05 14:22:29
10	13	B	ET	Ethiopia	Foreign world station central interesting religious forward. Yeah none relate will. Risk letter carry.	33.27	2022-08-05 14:22:29	9999-12-31 23:59:59
11	14	B	LR	Liberia	Foreign world station central interesting religious forward. Yeah none relate will. Risk letter carry.	55.5	2015-12-22 06:36:37	2022-09-10 22:39:48
12	14	B	LR	Liberia	Foreign world station central interesting religious forward. Yeah none relate will. Risk letter carry.	77.33	2022-09-10 22:39:48	9999-12-31 23:59:59
13	30	C	BS	Bahamas	Community source stuff sing top yet but. Cold design weight.	6.43	2015-04-14 13:06:08	9999-12-31 23:59:59
14	32	C	CO	Colombia	Community source stuff sing top yet but. Cold design weight.	20.41	2023-05-25 06:24:30	9999-12-31 23:59:59
15	23	C	DO	Dominican Republic	Community source stuff sing top yet but. Cold design weight.	47.24	2018-11-20 12:10:48	9999-12-31 23:59:59
16	25	C	LR	Liberia	Community source stuff sing top yet but. Cold design weight.	46.99	2023-05-04 08:13:21	9999-12-31 23:59:59
17	34	D	DO	Dominican Republic	Floor bed to man network fish upon. Green effort fly difficult focus notice experience close. Foot consider century personal half best ready. Light baby step end prepare.	52.52	2016-03-07 19:38:40	9999-12-31 23:59:59
18	36	D	LR	Liberia	Floor bed to man network fish upon. Green effort fly difficult focus notice experience close. Foot consider century personal half best ready. Light baby step end prepare.	85.96	2017-09-16 20:42:18	9999-12-31 23:59:59
19	52	E	BS	Bahamas	Great already environmental rate evidence skill. Science western that learn. Financial laugh yourself on kitchen.	53.81	2015-10-23 18:29:51	2017-12-03 01:05:25
20	52	E	BS	Bahamas	Great already environmental rate evidence skill. Science western that learn. Financial laugh yourself on kitchen.	11.36	2017-12-03 01:05:25	9999-12-31 23:59:59
21	46	E	ET	Ethiopia	Great already environmental rate evidence skill. Science western that learn. Financial laugh yourself on kitchen.	73.29	2018-09-23 04:33:31	9999-12-31 23:59:59
22	53	E	SM	San Marino	Great already environmental rate evidence skill. Science western that learn. Financial laugh yourself on kitchen.	85.72	2015-04-15 14:30:14	9999-12-31 23:59:59
23	66	F	CA	Canada	Artist he thank. Family area test school. Financial course group store.	57.96	2016-09-13 06:28:17	9999-12-31 23:59:59
24	61	F	CG	Congo	Artist he thank. Family area test school. Financial course group store.	2.55	2018-12-06 22:33:12	9999-12-31 23:59:59
25	56	F	DO	Dominican Republic	Artist he thank. Family area test school. Financial course group store.	17.74	2022-08-02 08:23:48	9999-12-31 23:59:59
26	57	F	ET	Ethiopia	Artist he thank. Family area test school. Financial course group store.	48.12	2017-07-22 22:22:53	9999-12-31 23:59:59
27	59	F	VC	Saint Vincent and the Grenadines	Artist he thank. Family area test school. Financial course group store.	41.08	2020-02-02 23:24:50	2022-08-03 11:27:35
28	59	F	VC	Saint Vincent and the Grenadines	Artist he thank. Family area test school. Financial course group store.	79.92	2022-08-03 11:27:35	9999-12-31 23:59:59
29	67	G	DO	Dominican Republic	Describe example various choice tonight traditional. Imagine commercial left plant. Hard history available story me wind despite. Nation paper until benefit her.	44.93	2018-05-15 00:39:17	9999-12-31 23:59:59
30	88	H	CA	Canada	Six ball another pass.	84.99	2018-01-05 22:47:13	9999-12-31 23:59:59
31	79	H	ET	Ethiopia	Six ball another pass.	93.07	2017-12-22 08:28:22	2018-09-06 20:59:00
32	79	H	ET	Ethiopia	Six ball another pass.	19.54	2018-09-06 20:59:00	9999-12-31 23:59:59
33	99	I	CA	Canada	Religious admit it compare computer goal form.	22.73	2018-10-20 01:16:59	9999-12-31 23:59:59
34	98	I	CO	Colombia	Religious admit it compare computer goal form.	19.13	2023-04-07 02:01:20	9999-12-31 23:59:59
35	89	I	DO	Dominican Republic	Religious admit it compare computer goal form.	32.11	2021-06-14 03:57:38	9999-12-31 23:59:59
36	90	I	ET	Ethiopia	Religious admit it compare computer goal form.	42.63	2021-08-28 21:38:04	9999-12-31 23:59:59
37	97	I	SM	San Marino	Religious admit it compare computer goal form.	50.75	2020-11-14 10:09:05	9999-12-31 23:59:59
38	110	J	CA	Canada	Particular society color former. Type still agree order population measure. Discuss education past late light.	39.01	2016-12-29 01:35:30	2022-04-04 00:46:02
39	110	J	CA	Canada	Particular society color former. Type still agree order population measure. Discuss education past late light.	42.67	2022-04-04 00:46:02	2022-05-19 07:46:05
40	110	J	CA	Canada	Particular society color former. Type still agree order population measure. Discuss education past late light.	93.48	2022-05-19 07:46:05	9999-12-31 23:59:59
41	105	J	CG	Congo	Particular society color former. Type still agree order population measure. Discuss education past late light.	46.55	2019-06-26 20:33:34	9999-12-31 23:59:59
42	118	K	BS	Bahamas	Get operation group operation. Order at arrive I option.	51.38	2021-05-08 06:33:46	9999-12-31 23:59:59
43	116	K	CG	Congo	Get operation group operation. Order at arrive I option.	83.65	2021-08-19 09:35:07	9999-12-31 23:59:59
44	111	K	DO	Dominican Republic	Get operation group operation. Order at arrive I option.	51.08	2016-06-15 16:25:54	9999-12-31 23:59:59
45	113	K	LR	Liberia	Get operation group operation. Order at arrive I option.	9.98	2022-05-18 14:21:48	9999-12-31 23:59:59
46	115	K	SB	Solomon Islands	Get operation group operation. Order at arrive I option.	30.72	2017-04-13 07:57:23	2022-12-13 01:09:10
47	115	K	SB	Solomon Islands	Get operation group operation. Order at arrive I option.	83.03	2022-12-13 01:09:10	9999-12-31 23:59:59
48	114	K	VC	Saint Vincent and the Grenadines	Get operation group operation. Order at arrive I option.	67.05	2016-12-01 21:14:42	9999-12-31 23:59:59
49	129	L	BS	Bahamas	Decision husband whatever measure toward decide from charge. Listen power partner his. Similar tonight fall everything art it billion office. Yet thus cause skill one.	18.74	2015-08-05 04:19:21	9999-12-31 23:59:59
50	130	L	SM	San Marino	Decision husband whatever measure toward decide from charge. Listen power partner his. Similar tonight fall everything art it billion office. Yet thus cause skill one.	18.18	2021-08-09 18:47:50	9999-12-31 23:59:59
51	135	M	LR	Liberia	Although human attack must light. Election player even since effort eye. The adult you fund commercial if.	25.39	2020-07-05 19:16:51	9999-12-31 23:59:59
52	141	M	SM	San Marino	Although human attack must light. Election player even since effort eye. The adult you fund commercial if.	77.92	2015-09-25 04:23:40	9999-12-31 23:59:59
53	151	N	BS	Bahamas	Large note general young. Tough away husband goal election mother series. True gas note. All finally through use.	14.33	2018-01-06 03:28:13	9999-12-31 23:59:59
54	154	N	CA	Canada	Large note general young. Tough away husband goal election mother series. True gas note. All finally through use.	86.33	2017-07-10 05:49:38	2023-04-17 11:36:56
55	154	N	CA	Canada	Large note general young. Tough away husband goal election mother series. True gas note. All finally through use.	32.63	2023-04-17 11:36:56	9999-12-31 23:59:59
56	146	N	LR	Liberia	Large note general young. Tough away husband goal election mother series. True gas note. All finally through use.	11.44	2019-03-27 21:02:22	9999-12-31 23:59:59
57	148	N	SB	Solomon Islands	Large note general young. Tough away husband goal election mother series. True gas note. All finally through use.	15.98	2019-02-03 22:59:08	9999-12-31 23:59:59
58	147	N	VC	Saint Vincent and the Grenadines	Large note general young. Tough away husband goal election mother series. True gas note. All finally through use.	86.94	2021-08-16 08:51:23	9999-12-31 23:59:59
59	162	O	BS	Bahamas	Life try meet. Contain explain official others instead order. Nation yeah industry green.	26.08	2019-02-07 06:41:19	9999-12-31 23:59:59
60	160	O	CG	Congo	Life try meet. Contain explain official others instead order. Nation yeah industry green.	43.19	2022-07-22 05:26:05	9999-12-31 23:59:59
61	164	O	CO	Colombia	Life try meet. Contain explain official others instead order. Nation yeah industry green.	11.42	2022-01-30 04:26:05	9999-12-31 23:59:59
62	155	O	DO	Dominican Republic	Life try meet. Contain explain official others instead order. Nation yeah industry green.	10.93	2018-09-13 22:49:13	9999-12-31 23:59:59
63	156	O	ET	Ethiopia	Life try meet. Contain explain official others instead order. Nation yeah industry green.	35.24	2021-01-28 18:11:57	2021-10-27 06:16:49
64	156	O	ET	Ethiopia	Life try meet. Contain explain official others instead order. Nation yeah industry green.	78.74	2021-10-27 06:16:49	9999-12-31 23:59:59
65	173	P	BS	Bahamas	Wear indicate become why wall. His and point authority worker tough government. Approach religious lead lose too. Actually rich place choice stop.	69.8	2018-09-26 20:28:54	9999-12-31 23:59:59
66	167	P	ET	Ethiopia	Wear indicate become why wall. His and point authority worker tough government. Approach religious lead lose too. Actually rich place choice stop.	58.78	2019-04-06 03:04:48	9999-12-31 23:59:59
67	170	P	SB	Solomon Islands	Wear indicate become why wall. His and point authority worker tough government. Approach religious lead lose too. Actually rich place choice stop.	5.0	2023-03-27 14:56:24	9999-12-31 23:59:59
68	184	Q	BS	Bahamas	Quite official capital. Yard public religious consumer exist threat. Center long prove Democrat customer threat.	82.83	2019-10-23 01:28:04	9999-12-31 23:59:59
69	178	Q	ET	Ethiopia	Quite official capital. Yard public religious consumer exist threat. Center long prove Democrat customer threat.	62.52	2019-06-20 15:04:33	2019-08-03 21:57:24
